Date,Open,High,Low,Close,Adj Close,Volume
,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,,BOSCHLTD.NS
2015-10-09,19399.391117851188,19644.959354210034,19229.14932241492,19293.001953125,,25626
2015-10-12,19312.587640084672,19364.286202780622,19074.909591944754,19142.119140625,,10593
2015-10-13,19179.26362985743,19337.08032670767,18896.916152709302,19252.23046875,,15991
2015-10-14,19271.594994268427,19346.149065482856,19046.841555327705,19215.49609375,,12406
2015-10-15,19224.161460659223,19364.29181595501,19114.95919841953,19167.701171875,,14206
2015-10-16,19264.518004008314,19300.34420274458,18992.420292087292,19092.189453125,,20251
2015-10-19,19147.51642486645,19287.193253506946,18979.722832019106,19166.970703125,,12285
2015-10-20,19228.238202885113,19618.24492115118,19039.3109840303,19557.11328125,,21002
2015-10-21,19560.19961162425,19858.600134309236,19560.19961162425,19720.91796875,,16995
2015-10-23,19863.136876893415,19999.095414650685,19659.063552815744,19721.146484375,,18613
2015-10-26,19776.882014136638,19924.81214329916,19455.48956148513,19520.203125,,23701
2015-10-27,19500.33888302457,19754.29678475698,19464.331989116832,19613.123046875,,16184
2015-10-28,19568.361936180103,19729.533784535906,19057.725191333317,19176.314453125,,20813
2015-10-29,19173.86468799025,19325.28635500523,19046.839698461063,19108.015625,,20537
2015-10-30,19108.020199096038,19271.732360455717,18501.56102517417,18554.80078125,,25832
2015-11-02,18557.248119142107,18716.471368648887,18245.061994438827,18613.07421875,,11538
2015-11-03,18713.160444732235,18947.07417527335,18684.04633846965,18774.8359375,,9950
2015-11-04,18793.748728408416,18901.77297069363,18295.1295167898,18379.435546875,,12448
2015-11-05,18370.22293427076,18445.776105109187,17995.181600049327,18042.435546875,,22513
2015-11-06,18049.14895681375,18307.732138579522,17480.464715812635,17564.134765625,,45837
2015-11-09,17233.765118269417,17704.040746595438,17202.837027190344,17521.19140625,,20624
2015-11-10,17504.952251307743,17520.37112116641,17241.924471365815,17326.001953125,,15849
2015-11-13,17359.837267707153,17467.315884019758,17018.85412985858,17220.88671875,,24145
2015-11-16,17314.486490603078,17483.594530374183,17036.99284917524,17375.798828125,,18399
2015-11-17,17541.235987421565,17777.96104392193,17420.559919571664,17594.658203125,,16827
2015-11-18,17683.633664666948,17769.79795651407,17297.481588309973,17355.755859375,,26770
2015-11-19,17436.928716023765,17581.367254282635,17306.458214879432,17414.25390625,,22297
